ingredient_name,foodtable_id,foodtable_name
Cこしょう,17064,＜香辛料類＞　こしょう　白　粉
杏仁豆腐,15136,＜デザート菓子類＞　牛乳寒天
オレンジジュース,7042,（かんきつ類）　オレンジ　バレンシア　果実飲料　ストレートジュース
黄パプリカ,6247,（ピーマン類）　赤ピーマン　果実　生
赤パプリカ,6249,（ピーマン類）　黄ピーマン　果実　生
B砂糖,3003,（砂糖類）　車糖　上白糖
B酢,17015,＜調味料類＞　（食酢類）　穀物酢
Bしょうゆ,17007,＜調味料類＞　（しょうゆ類）　こいくちしょうゆ
Bトマトケチャップ,17036,＜調味料類＞　（トマト加工品類）　トマトケチャップ
B顆粒中華だし,17093,＜調味料類＞　（だし類）　顆粒中華だし
Cかたくり粉,2034,＜でん粉・でん粉製品＞　（でん粉類）　じゃがいもでん粉
ヤングコーン,6181,（とうもろこし類）　ヤングコーン　幼雌穂　生
人参,6212,（にんじん類）　にんじん　根　皮つき　生
レタス,6312,（レタス類）　レタス　土耕栽培　結球葉　生
フレンチドレッシング,17040,＜調味料類＞　（ドレッシング類）　分離液状ドレッシング　フレンチドレッシング　分離液状
ピーマン　,6245,（ピーマン類）　青ピーマン　果実　生
ミニトマト　,6183,（トマト類）　赤色ミニトマト　果実　生
ごぼう　,6084,（ごぼう類）　ごぼう　根　生
なめ茸,8003,えのきたけ　味付け瓶詰
ほうれんそう　,6267,ほうれんそう　葉　通年平均　生
豚もも肉,11130,＜畜肉類＞　ぶた　［大型種肉］　もも　脂身つき　生
なす　,6191,（なす類）　なす　果実　生
カレールウ,17051,＜調味料類＞　（ルウ類）　カレールウ
らっきょう　,6306,（らっきょう類）　らっきょう　甘酢漬
福神漬,6143,（だいこん類）　漬物　福神漬
紫キャベツ　,6064,（キャベツ類）　レッドキャベツ　結球葉　生
生揚げ,4039,だいず　［豆腐・油揚げ類］　生揚げ
フレンチドレッシング　,17149,＜調味料類＞　（ドレッシング類）　乳化液状ドレッシング　フレンチドレッシング　乳化液状
生クリーム,13014,＜牛乳及び乳製品＞　（クリーム類）　クリーム　乳脂肪
練乳,13013,＜牛乳及び乳製品＞　（練乳類）　加糖練乳
粉ゼラチン,11198,＜畜肉類＞　ぶた　［その他］　ゼラチン
黄桃缶,7175,（もも類）　もも　缶詰　黄肉種　果肉
●味噌,17045,＜調味料類＞　（みそ類）　米みそ　淡色辛みそ
●ナンプラー,17107,＜調味料類＞　（調味ソース類）　魚醤油　ナンプラー
●レモン汁,7156,（かんきつ類）　レモン　果汁　生
●おろししょうが,17069,＜香辛料類＞　しょうが　おろし
●おろしにんにく　,17076,＜香辛料類＞　にんにく　おろし
パクチー　,6385,コリアンダー　葉　生
水煮だいず,4028,だいず　［全粒・全粒製品］　水煮缶詰　黄大豆
乾燥しいたけ,8013,しいたけ　乾しいたけ　乾
●出汁・しいたけ戻し汁,17022,＜調味料類＞　（だし類）　しいたけだし
めんつゆ　,17030,＜調味料類＞　（だし類）　めんつゆ　三倍濃縮
クロワッサン,1209,こむぎ　［パン類］　クロワッサン　レギュラータイプ
モッツァレラチーズ,13056,＜牛乳及び乳製品＞　（チーズ類）　ナチュラルチーズ　モッツァレラ
リーフレタス　,6314,（レタス類）　リーフレタス　葉　生
こしょう　,17064,＜香辛料類＞　こしょう　白　粉
レンズ豆（水煮）,4094,レンズまめ　全粒　ゆで
Aじゃがいも　,2063,＜いも類＞　じゃがいも　塊茎　皮つき　生
Aにんじん,6212,（にんじん類）　にんじん　根　皮つき　生
Aたまねぎ,6153,（たまねぎ類）　たまねぎ　りん茎　生
Aベーコン,11183,＜畜肉類＞　ぶた　［ベーコン類］　ばらベーコン　ばらベーコン　
B顆粒コンソメ,17027,＜調味料類＞　（だし類）　固形ブイヨン
いんげん,6010,いんげんまめ　さやいんげん　若ざや　生
サウザンアイランドドレッシング,17041,＜調味料類＞　（ドレッシング類）　乳化液状ドレッシング　サウザンアイランドドレッシング
いちごジャム,7013,いちご　ジャム　高糖度
ししとう　,6093,（ししとう類）　ししとう　果実　生
まぐろ（刺身用）,10252,＜魚類＞　（まぐろ類）　きはだ　生
いか（刺身用）,10345,＜いか・たこ類＞　（いか類）　するめいか　生
紫たまねぎ,6156,（たまねぎ類）　赤たまねぎ　りん茎　生
●こしょう　,17064,＜香辛料類＞　こしょう　白　粉
●レモン汁　,7156,（かんきつ類）　レモン　果汁　生
パセリ　,6239,パセリ　葉　生
ズッキーニ,6116,ズッキーニ　果実　生
豚小間肉,11115,＜畜肉類＞　ぶた　［大型種肉］　かた　脂身つき　生
●マヨネーズ　,17042,＜調味料類＞　（ドレッシング類）　半固形状ドレッシング　マヨネーズ　全卵型
めかじき,10085,＜魚類＞　（かじき類）　めかじき　生
●はちみつ,3022,（その他）　はちみつ
グリンピース　,6024,（えんどう類）　グリンピース　ゆで
●かつお節,10092,＜魚類＞　（かつお類）　加工品　削り節
あさつき,6003,あさつき　葉　生
乳酸菌飲料,13028,＜牛乳及び乳製品＞　（発酵乳・乳酸菌飲料）　乳酸菌飲料　乳製品
カリフラワー　,6054,カリフラワー　花序　生
●乾燥パセリ,17078,＜香辛料類＞　パセリ　乾
●粉チーズ,13038,＜牛乳及び乳製品＞　（チーズ類）　ナチュラルチーズ　パルメザン
オクラ,6032,オクラ　果実　生
なめこ（水煮）,8058,なめこ　カットなめこ　生
●すりごま（白）,5019,ごま　むき
もやし　,6291,（もやし類）　りょくとうもやし　生
蒸し中華めん,1048,こむぎ　［中華めん類］　中華めん　ゆで
●テンメンジャン,17106,＜調味料類＞　（調味ソース類）　テンメンジャン
●トウバンジャン,17004,＜調味料類＞　（辛味調味料類）　トウバンジャン
●かたくり粉,2034,＜でん粉・でん粉製品＞　（でん粉類）　じゃがいもでん粉
さくらえび（乾）,10325,＜えび・かに類＞　（えび類）　さくらえび　素干し
メロン,7134,メロン　温室メロン　生
麴,1116,こめ　［うるち米製品］　米こうじ
乾燥スパゲッティ,1063,こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　乾
刻みのり,9004,あまのり　焼きのり
魚肉ソーセージ,10388,＜水産練り製品＞　魚肉ソーセージ
ながいも,2023,＜いも類＞　（やまのいも類）　ながいも　ながいも　塊根　生
しば漬け,6199,（なす類）　漬物　しば漬
いりごま（白）,5018,ごま　いり
Aトウバンジャン,17004,＜調味料類＞　（辛味調味料類）　トウバンジャン
Aおろしにんにく,17076,＜香辛料類＞　にんにく　おろし
にら,6207,（にら類）　にら　葉　生
卵　,12004,鶏卵　全卵　生
Aこしょう,17064,＜香辛料類＞　こしょう　白　粉
Aみりん,16025,＜アルコール飲料類＞　（混成酒類）　みりん　本みりん
B西京味噌,17044,＜調味料類＞　（みそ類）　米みそ　甘みそ
しょうが甘酢漬,6105,（しょうが類）　しょうが　漬物　甘酢漬
生竹輪,10381,＜水産練り製品＞　焼き竹輪
はちみつ,3022,（その他）　はちみつ
りんごジャム,7154,りんご　ジャム
●塩昆布,9022,（こんぶ類）　塩昆布
白菜の浅漬け,6235,はくさい　漬物　塩漬
Aしょうが（かたまりのまま）,6103,（しょうが類）　しょうが　根茎　皮なし　生
サニーレタス　,6315,（レタス類）　サニーレタス　葉　生
スイートチリソース,17038,＜調味料類＞　（トマト加工品類）　チリソース
じゃがいも　,2063,＜いも類＞　じゃがいも　塊茎　皮つき　生
水煮ひよこまめ,4066,ひよこまめ　全粒　ゆで
洋梨缶,7092,（なし類）　西洋なし　缶詰
すいか,7077,すいか　赤肉種　生
厚揚げ,4039,だいず　［豆腐・油揚げ類］　生揚げ
れんこん　,6317,れんこん　根茎　生
さきいか,10354,＜いか・たこ類＞　（いか類）　加工品　さきいか
●うすくちしょうゆ,17008,＜調味料類＞　（しょうゆ類）　うすくちしょうゆ
●きな粉　,4030,だいず　［全粒・全粒製品］　きな粉　黄大豆　脱皮大豆
フランスパン,1031,こむぎ　［パン類］　フランスパン
たくあん漬　,6139,（だいこん類）　漬物　たくあん漬　干しだいこん漬
紅茶,16044,＜茶類＞　（発酵茶類）　紅茶　浸出液
水煮たけのこ,6150,たけのこ　若茎　ゆで
Aごま油,14002,（植物油脂類）　ごま油
Aかたくり粉,2034,＜でん粉・でん粉製品＞　（でん粉類）　じゃがいもでん粉
B中華だし汁,17025,＜調味料類＞　（だし類）　中華だし
Bオイスターソース,17031,＜調味料類＞　（調味ソース類）　オイスターソース
きくらげ,8054,（きくらげ類）　あらげきくらげ　生
Bカレー粉,17061,＜香辛料類＞　カレー粉
Bマヨネーズ,17042,＜調味料類＞　（ドレッシング類）　半固形状ドレッシング　マヨネーズ　全卵型
B牛乳,13003,＜牛乳及び乳製品＞　（液状乳類）　普通牛乳
Bおろしにんにく,17076,＜香辛料類＞　にんにく　おろし
リーフレタス,6314,（レタス類）　リーフレタス　葉　生
がんもどき,4041,だいず　［豆腐・油揚げ類］　がんもどき
いんげん　,6010,いんげんまめ　さやいんげん　若ざや　生
●挽きわり納豆,4047,だいず　［納豆類］　挽きわり納豆
ババロア,15091,＜デザート菓子類＞　ババロア
スライスチーズ,13040,＜牛乳及び乳製品＞　（チーズ類）　プロセスチーズ
さといも,2010,＜いも類＞　（さといも類）　さといも　球茎　生
乾燥そうめん,1042,こむぎ　［うどん・そうめん類］　干しうどん　ゆで
かに風味かまぼこ,10376,＜水産練り製品＞　かに風味かまぼこ
スイートコーン缶,6180,（とうもろこし類）　スイートコーン　缶詰　ホールカーネルスタイル
白菜キムチ,6236,はくさい　漬物　キムチ
●トマトホール缶（無塩）,6184,（トマト類）　加工品　ホール　食塩無添加
●白ワイン,16010,＜アルコール飲料類＞　（醸造酒類）　ぶどう酒　白
粒入りマスタード,17060,＜香辛料類＞　からし　粒入りマスタード
和風ドレッシング　,17116,＜調味料類＞　（ドレッシング類）　分離液状ドレッシング　和風ドレッシング　分離液状
さつま揚げ,10386,＜水産練り製品＞　さつま揚げ
ピザ用チーズ,13040,＜牛乳及び乳製品＞　（チーズ類）　プロセスチーズ
あおのり,9002,あおのり　素干し
こまつな,6086,こまつな　葉　生
たくあん,6139,（だいこん類）　漬物　たくあん漬　干しだいこん漬
まぐろたたき,10252,＜魚類＞　（まぐろ類）　きはだ　生
練りわさび　,17081,＜香辛料類＞　わさび　練り
Aうすくちしょうゆ,17008,＜調味料類＞　（しょうゆ類）　うすくちしょうゆ
B顆粒和風だし,17028,＜調味料類＞　（だし類）　顆粒和風だし
なめこ,8058,なめこ　カットなめこ　生
●にんにく,6223,（にんにく類）　にんにく　りん茎　生
もずく（味付き）,9038,（もずく類）　もずく　塩蔵　塩抜き
マーマレードジャム,7046,（かんきつ類）　オレンジ　バレンシア　マーマレード　高糖度
干しぶどう,7117,ぶどう　干しぶどう
炒りくるみ,5014,くるみ　いり
ゴールドキウイ,7168,キウイフルーツ　黄肉種　生
コーヒー,16064,＜コーヒー・ココア類＞　コーヒー　缶コーヒー　無糖
豚バラ肉,7168,キウイフルーツ　黄肉種　生
切干しだいこん,6136,（だいこん類）　切干しだいこん　乾
豚バラ肉（ブロック）,11129,＜畜肉類＞　ぶた　［大型種肉］　ばら　脂身つき　生
長ねぎ（青い部分）,6226,（ねぎ類）　根深ねぎ　葉　軟白　生
水煮だいず,4024,だいず　［全粒・全粒製品］　全粒　黄大豆　国産　ゆで
カットわかめ（乾）,9040,わかめ　乾燥わかめ　素干し
アスパラガス　,6007,アスパラガス　若茎　生
●バター,14017,（バター類）　無発酵バター　有塩バター
A卵,12004,鶏卵　全卵　生
A薄力粉,1015,こむぎ　［小麦粉］　薄力粉　1等
Bみりん,16025,＜アルコール飲料類＞　（混成酒類）　みりん　本みりん
糸みつば,6278,（みつば類）　糸みつば　葉　生
レモン,7155,（かんきつ類）　レモン　全果　生
うすくちしょうゆ,17008,＜調味料類＞　（しょうゆ類）　うすくちしょうゆ
白あん,4010,いんげんまめ　こし生あん
茹でひよこまめ,4066,ひよこまめ　全粒　ゆで
 顆粒コンソメ,17027,＜調味料類＞　（だし類）　固形ブイヨン
ハイカカオチョコレート,15187,＜チョコレート類＞　スイートチョコレート　カカオ増量
昆布の佃煮,9023,（こんぶ類）　つくだ煮
うどん（ゆで）,1039,こむぎ　［うどん・そうめん類］　うどん　ゆで
ごぼう,6084,（ごぼう類）　ごぼう　根　生
豆板醤,17004,＜調味料類＞　（辛味調味料類）　トウバンジャン
めんつゆ　三倍濃縮,17030,＜調味料類＞　（だし類）　めんつゆ　三倍濃縮
いちご,7012,いちご　生
さば,10154,＜魚類＞　（さば類）　まさば　生
ひじき（乾）,9050,ひじき　ほしひじき　ステンレス釜　乾
鶏ささ身,11227,＜鳥肉類＞　にわとり　［若どり・副品目］　ささみ　生
胡麻ドレッシング,17117,＜調味料類＞　（ドレッシング類）　乳化液状ドレッシング　ごまドレッシング
