food_name,food_table_name,food_table_category_id
こむぎ　　強力粉　1等,こむぎ　［小麦粉］　強力粉　1等,01
こむぎ　［小麦粉］　強力粉　1等,こむぎ　［小麦粉］　強力粉　1等,01
こむぎ　　強力粉　2等,こむぎ　［小麦粉］　強力粉　2等,01
こむぎ　［小麦粉］　強力粉　2等,こむぎ　［小麦粉］　強力粉　2等,01
こむぎ　　強力粉　全粒粉,こむぎ　［小麦粉］　強力粉　全粒粉,01
こむぎ　［小麦粉］　強力粉　全粒粉,こむぎ　［小麦粉］　強力粉　全粒粉,01
お好み焼き用,こむぎ　［小麦粉］　プレミックス粉　お好み焼き用,01
こむぎ　　ぷれみっくす粉　お好み焼き用,こむぎ　［小麦粉］　プレミックス粉　お好み焼き用,01
こむぎ　　プレミックス粉　お好み焼き用,こむぎ　［小麦粉］　プレミックス粉　お好み焼き用,01
こむぎ　［小麦粉］　プレミックス粉　お好み焼き用,こむぎ　［小麦粉］　プレミックス粉　お好み焼き用,01
こむぎ　　ぷれみっくす粉　ほっとけーき用,こむぎ　［小麦粉］　プレミックス粉　ホットケーキ用,01
こむぎ　　プレミックス粉　ホットケーキ用,こむぎ　［小麦粉］　プレミックス粉　ホットケーキ用,01
こむぎ　［小麦粉］　プレミックス粉　ホットケーキ用,こむぎ　［小麦粉］　プレミックス粉　ホットケーキ用,01
ほっとけーき用,こむぎ　［小麦粉］　プレミックス粉　ホットケーキ用,01
ホットケーキ用,こむぎ　［小麦粉］　プレミックス粉　ホットケーキ用,01
から揚げ用,こむぎ　［小麦粉］　プレミックス粉　から揚げ用,01
こむぎ　　ぷれみっくす粉　から揚げ用,こむぎ　［小麦粉］　プレミックス粉　から揚げ用,01
こむぎ　　プレミックス粉　から揚げ用,こむぎ　［小麦粉］　プレミックス粉　から揚げ用,01
こむぎ　［小麦粉］　プレミックス粉　から揚げ用,こむぎ　［小麦粉］　プレミックス粉　から揚げ用,01
こむぎ　　ぷれみっくす粉　天ぷら用,こむぎ　［小麦粉］　プレミックス粉　天ぷら用,01
こむぎ　　プレミックス粉　天ぷら用,こむぎ　［小麦粉］　プレミックス粉　天ぷら用,01
こむぎ　［小麦粉］　プレミックス粉　天ぷら用,こむぎ　［小麦粉］　プレミックス粉　天ぷら用,01
こむぎ　　ぷれみっくす粉　天ぷら用　ばったー,こむぎ　［小麦粉］　プレミックス粉　天ぷら用　バッター,01
こむぎ　　プレミックス粉　天ぷら用　バッター,こむぎ　［小麦粉］　プレミックス粉　天ぷら用　バッター,01
こむぎ　［小麦粉］　プレミックス粉　天ぷら用　バッター,こむぎ　［小麦粉］　プレミックス粉　天ぷら用　バッター,01
こむぎ　　ぷれみっくす粉　天ぷら用　ばったー　揚げ,こむぎ　［小麦粉］　プレミックス粉　天ぷら用　バッター　揚げ,01
こむぎ　　プレミックス粉　天ぷら用　バッター　揚げ,こむぎ　［小麦粉］　プレミックス粉　天ぷら用　バッター　揚げ,01
こむぎ　［小麦粉］　プレミックス粉　天ぷら用　バッター　揚げ,こむぎ　［小麦粉］　プレミックス粉　天ぷら用　バッター　揚げ,01
天かす,こむぎ　［小麦粉］　プレミックス粉　天ぷら用　バッター　揚げ,01
揚げ玉,こむぎ　［小麦粉］　プレミックス粉　天ぷら用　バッター　揚げ,01
こむぎ　　角形食ぱん　食ぱん,こむぎ　［パン類］　角形食パン　食パン,01
こむぎ　　角形食パン　食パン,こむぎ　［パン類］　角形食パン　食パン,01
こむぎ　［パン類］　角形食パン　食パン,こむぎ　［パン類］　角形食パン　食パン,01
こむぎ　　角形食ぱん　焼き,こむぎ　［パン類］　角形食パン　焼き,01
こむぎ　　角形食パン　焼き,こむぎ　［パン類］　角形食パン　焼き,01
こむぎ　［パン類］　角形食パン　焼き,こむぎ　［パン類］　角形食パン　焼き,01
こむぎ　　角形食ぱん　耳を除いたもの,こむぎ　［パン類］　角形食パン　耳を除いたもの,01
こむぎ　　角形食パン　耳を除いたもの,こむぎ　［パン類］　角形食パン　耳を除いたもの,01
こむぎ　［パン類］　角形食パン　耳を除いたもの,こむぎ　［パン類］　角形食パン　耳を除いたもの,01
さんどいっち用食ぱん,こむぎ　［パン類］　角形食パン　耳を除いたもの,01
サンドイッチ用食パン,こむぎ　［パン類］　角形食パン　耳を除いたもの,01
耳を除いたもの,こむぎ　［パン類］　角形食パン　耳を除いたもの,01
こむぎ　　角形食ぱん　耳,こむぎ　［パン類］　角形食パン　耳,01
こむぎ　　角形食パン　耳,こむぎ　［パン類］　角形食パン　耳,01
こむぎ　［パン類］　角形食パン　耳,こむぎ　［パン類］　角形食パン　耳,01
耳,こむぎ　［パン類］　角形食パン　耳,01
こむぎ　　食ぱん　りーんたいぷ,こむぎ　［パン類］　食パン　リーンタイプ,01
こむぎ　　食パン　リーンタイプ,こむぎ　［パン類］　食パン　リーンタイプ,01
こむぎ　［パン類］　食パン　リーンタイプ,こむぎ　［パン類］　食パン　リーンタイプ,01
りーんたいぷ,こむぎ　［パン類］　食パン　リーンタイプ,01
リーンタイプ,こむぎ　［パン類］　食パン　リーンタイプ,01
こむぎ　　食ぱん　りっちたいぷ,こむぎ　［パン類］　食パン　リッチタイプ,01
こむぎ　　食パン　リッチタイプ,こむぎ　［パン類］　食パン　リッチタイプ,01
こむぎ　［パン類］　食パン　リッチタイプ,こむぎ　［パン類］　食パン　リッチタイプ,01
いぎりすぱん,こむぎ　［パン類］　山形食パン　食パン,01
こむぎ　　山形食ぱん　食ぱん,こむぎ　［パン類］　山形食パン　食パン,01
こむぎ　　山形食パン　食パン,こむぎ　［パン類］　山形食パン　食パン,01
こむぎ　［パン類］　山形食パン　食パン,こむぎ　［パン類］　山形食パン　食パン,01
イギリスパン,こむぎ　［パン類］　山形食パン　食パン,01
山形食ぱん,こむぎ　［パン類］　山形食パン　食パン,01
山形食パン,こむぎ　［パン類］　山形食パン　食パン,01
こっぺぱん,こむぎ　［パン類］　コッペパン,01
こむぎ　　こっぺぱん,こむぎ　［パン類］　コッペパン,01
こむぎ　　コッペパン,こむぎ　［パン類］　コッペパン,01
こむぎ　［パン類］　コッペパン,こむぎ　［パン類］　コッペパン,01
コッペパン,こむぎ　［パン類］　コッペパン,01
こむぎ　　ばんず,こむぎ　［パン類］　バンズ,01
こむぎ　　バンズ,こむぎ　［パン類］　バンズ,01
こむぎ　［パン類］　バンズ,こむぎ　［パン類］　バンズ,01
ばんず,こむぎ　［パン類］　バンズ,01
バンズ,こむぎ　［パン類］　バンズ,01
こむぎ　　乾ぱん,こむぎ　［パン類］　乾パン,01
こむぎ　　乾パン,こむぎ　［パン類］　乾パン,01
こむぎ　［パン類］　乾パン,こむぎ　［パン類］　乾パン,01
乾ぱん,こむぎ　［パン類］　乾パン,01
乾パン,こむぎ　［パン類］　乾パン,01
こむぎ　　ふらんすぱん,こむぎ　［パン類］　フランスパン,01
こむぎ　　フランスパン,こむぎ　［パン類］　フランスパン,01
こむぎ　［パン類］　フランスパン,こむぎ　［パン類］　フランスパン,01
ふらんすぱん,こむぎ　［パン類］　フランスパン,01
フランスパン,こむぎ　［パン類］　フランスパン,01
こむぎ　　らい麦ぱん,こむぎ　［パン類］　ライ麦パン,01
こむぎ　　ライ麦パン,こむぎ　［パン類］　ライ麦パン,01
こむぎ　［パン類］　ライ麦パン,こむぎ　［パン類］　ライ麦パン,01
らい麦ぱん,こむぎ　［パン類］　ライ麦パン,01
ライ麦パン,こむぎ　［パン類］　ライ麦パン,01
こむぎ　　全粒粉ぱん,こむぎ　［パン類］　全粒粉パン,01
こむぎ　　全粒粉パン,こむぎ　［パン類］　全粒粉パン,01
こむぎ　［パン類］　全粒粉パン,こむぎ　［パン類］　全粒粉パン,01
全粒粉ぱん,こむぎ　［パン類］　全粒粉パン,01
全粒粉パン,こむぎ　［パン類］　全粒粉パン,01
こむぎ　　ぶどうぱん,こむぎ　［パン類］　ぶどうパン,01
こむぎ　　ぶどうパン,こむぎ　［パン類］　ぶどうパン,01
こむぎ　［パン類］　ぶどうパン,こむぎ　［パン類］　ぶどうパン,01
ぶどうぱん,こむぎ　［パン類］　ぶどうパン,01
ぶどうパン,こむぎ　［パン類］　ぶどうパン,01
こむぎ　　ろーるぱん,こむぎ　［パン類］　ロールパン,01
こむぎ　　ロールパン,こむぎ　［パン類］　ロールパン,01
こむぎ　［パン類］　ロールパン,こむぎ　［パン類］　ロールパン,01
こむぎ　　くろわっさん　れぎゅらーたいぷ,こむぎ　［パン類］　クロワッサン　レギュラータイプ,01
こむぎ　　クロワッサン　レギュラータイプ,こむぎ　［パン類］　クロワッサン　レギュラータイプ,01
こむぎ　［パン類］　クロワッサン　レギュラータイプ,こむぎ　［パン類］　クロワッサン　レギュラータイプ,01
れぎゅらーたいぷ,こむぎ　［パン類］　クロワッサン　レギュラータイプ,01
レギュラータイプ,こむぎ　［パン類］　クロワッサン　レギュラータイプ,01
こむぎ　　くろわっさん　りっちたいぷ,こむぎ　［パン類］　クロワッサン　リッチタイプ,01
こむぎ　　クロワッサン　リッチタイプ,こむぎ　［パン類］　クロワッサン　リッチタイプ,01
こむぎ　［パン類］　クロワッサン　リッチタイプ,こむぎ　［パン類］　クロワッサン　リッチタイプ,01
くるみぱん,こむぎ　［パン類］　くるみパン,01
くるみパン,こむぎ　［パン類］　くるみパン,01
こむぎ　　くるみぱん,こむぎ　［パン類］　くるみパン,01
こむぎ　　くるみパン,こむぎ　［パン類］　くるみパン,01
こむぎ　［パン類］　くるみパン,こむぎ　［パン類］　くるみパン,01
いんぐりっしゅまふぃん,こむぎ　［パン類］　イングリッシュマフィン,01
こむぎ　　いんぐりっしゅまふぃん,こむぎ　［パン類］　イングリッシュマフィン,01
こむぎ　　イングリッシュマフィン,こむぎ　［パン類］　イングリッシュマフィン,01
こむぎ　［パン類］　イングリッシュマフィン,こむぎ　［パン類］　イングリッシュマフィン,01
イングリッシュマフィン,こむぎ　［パン類］　イングリッシュマフィン,01
こむぎ　　なん,こむぎ　［パン類］　ナン,01
こむぎ　　ナン,こむぎ　［パン類］　ナン,01
こむぎ　［パン類］　ナン,こむぎ　［パン類］　ナン,01
なん,こむぎ　［パン類］　ナン,01
ナン,こむぎ　［パン類］　ナン,01
こむぎ　　べーぐる,こむぎ　［パン類］　ベーグル,01
こむぎ　　ベーグル,こむぎ　［パン類］　ベーグル,01
こむぎ　［パン類］　ベーグル,こむぎ　［パン類］　ベーグル,01
べーぐる,こむぎ　［パン類］　ベーグル,01
ベーグル,こむぎ　［パン類］　ベーグル,01
こむぎ　　うどん　生,こむぎ　［うどん・そうめん類］　うどん　生,01
こむぎ　［うどん・そうめん類］　うどん　生,こむぎ　［うどん・そうめん類］　うどん　生,01
こむぎ　　うどん　ゆで,こむぎ　［うどん・そうめん類］　うどん　ゆで,01
こむぎ　［うどん・そうめん類］　うどん　ゆで,こむぎ　［うどん・そうめん類］　うどん　ゆで,01
こむぎ　　うどん　半生うどん,こむぎ　［うどん・そうめん類］　うどん　半生うどん,01
こむぎ　［うどん・そうめん類］　うどん　半生うどん,こむぎ　［うどん・そうめん類］　うどん　半生うどん,01
半生うどん,こむぎ　［うどん・そうめん類］　うどん　半生うどん,01
こむぎ　　干しうどん　乾,こむぎ　［うどん・そうめん類］　干しうどん　乾,01
こむぎ　［うどん・そうめん類］　干しうどん　乾,こむぎ　［うどん・そうめん類］　干しうどん　乾,01
こむぎ　　干しうどん　ゆで,こむぎ　［うどん・そうめん類］　干しうどん　ゆで,01
こむぎ　［うどん・そうめん類］　干しうどん　ゆで,こむぎ　［うどん・そうめん類］　干しうどん　ゆで,01
こむぎ　　そうめん・ひやむぎ　乾,こむぎ　［うどん・そうめん類］　そうめん・ひやむぎ　乾,01
こむぎ　［うどん・そうめん類］　そうめん・ひやむぎ　乾,こむぎ　［うどん・そうめん類］　そうめん・ひやむぎ　乾,01
こむぎ　　そうめん・ひやむぎ　ゆで,こむぎ　［うどん・そうめん類］　そうめん・ひやむぎ　ゆで,01
こむぎ　［うどん・そうめん類］　そうめん・ひやむぎ　ゆで,こむぎ　［うどん・そうめん類］　そうめん・ひやむぎ　ゆで,01
こむぎ　　手延そうめん・手延ひやむぎ　乾,こむぎ　［うどん・そうめん類］　手延そうめん・手延ひやむぎ　乾,01
こむぎ　［うどん・そうめん類］　手延そうめん・手延ひやむぎ　乾,こむぎ　［うどん・そうめん類］　手延そうめん・手延ひやむぎ　乾,01
こむぎ　　手延そうめん・手延ひやむぎ　ゆで,こむぎ　［うどん・そうめん類］　手延そうめん・手延ひやむぎ　ゆで,01
こむぎ　［うどん・そうめん類］　手延そうめん・手延ひやむぎ　ゆで,こむぎ　［うどん・そうめん類］　手延そうめん・手延ひやむぎ　ゆで,01
こむぎ　　中華めん　生,こむぎ　［中華めん類］　中華めん　生,01
こむぎ　［中華めん類］　中華めん　生,こむぎ　［中華めん類］　中華めん　生,01
こむぎ　　中華めん　ゆで,こむぎ　［中華めん類］　中華めん　ゆで,01
こむぎ　［中華めん類］　中華めん　ゆで,こむぎ　［中華めん類］　中華めん　ゆで,01
こむぎ　　半生中華めん,こむぎ　［中華めん類］　半生中華めん,01
こむぎ　［中華めん類］　半生中華めん,こむぎ　［中華めん類］　半生中華めん,01
半生中華めん,こむぎ　［中華めん類］　半生中華めん,01
こむぎ　　蒸し中華めん　蒸し中華めん,こむぎ　［中華めん類］　蒸し中華めん　蒸し中華めん,01
こむぎ　［中華めん類］　蒸し中華めん　蒸し中華めん,こむぎ　［中華めん類］　蒸し中華めん　蒸し中華めん,01
こむぎ　　蒸し中華めん  そてー,こむぎ　［中華めん類］　蒸し中華めん  ソテー,01
こむぎ　　蒸し中華めん  ソテー,こむぎ　［中華めん類］　蒸し中華めん  ソテー,01
こむぎ　［中華めん類］　蒸し中華めん  ソテー,こむぎ　［中華めん類］　蒸し中華めん  ソテー,01
こむぎ　　干し中華めん　乾,こむぎ　［中華めん類］　干し中華めん　乾,01
こむぎ　［中華めん類］　干し中華めん　乾,こむぎ　［中華めん類］　干し中華めん　乾,01
こむぎ　　干し中華めん　ゆで,こむぎ　［中華めん類］　干し中華めん　ゆで,01
こむぎ　［中華めん類］　干し中華めん　ゆで,こむぎ　［中華めん類］　干し中華めん　ゆで,01
こむぎ　　沖縄そば　生,こむぎ　［中華めん類］　沖縄そば　生,01
こむぎ　［中華めん類］　沖縄そば　生,こむぎ　［中華めん類］　沖縄そば　生,01
こむぎ　　沖縄そば　ゆで,こむぎ　［中華めん類］　沖縄そば　ゆで,01
こむぎ　［中華めん類］　沖縄そば　ゆで,こむぎ　［中華めん類］　沖縄そば　ゆで,01
こむぎ　　干し沖縄そば　乾,こむぎ　［中華めん類］　干し沖縄そば　乾,01
こむぎ　［中華めん類］　干し沖縄そば　乾,こむぎ　［中華めん類］　干し沖縄そば　乾,01
こむぎ　　干し沖縄そば　ゆで,こむぎ　［中華めん類］　干し沖縄そば　ゆで,01
こむぎ　［中華めん類］　干し沖縄そば　ゆで,こむぎ　［中華めん類］　干し沖縄そば　ゆで,01
こむぎ　　即席中華めん　油揚げ味付け,こむぎ　［即席めん類］　即席中華めん　油揚げ味付け,01
こむぎ　［即席めん類］　即席中華めん　油揚げ味付け,こむぎ　［即席めん類］　即席中華めん　油揚げ味付け,01
油揚げ味付け,こむぎ　［即席めん類］　即席中華めん　油揚げ味付け,01
こむぎ　［即席めん類］　即席中華めん　油揚げ　乾　（添付調味料等を含むもの）,こむぎ　［即席めん類］　即席中華めん　油揚げ　乾　（添付調味料等を含むもの）,01
こむぎ　　即席中華めん　油揚げ　調理後全体,こむぎ　［即席めん類］　即席中華めん　油揚げ　調理後全体　（添付調味料等を含むもの）,01
こむぎ　［即席めん類］　即席中華めん　油揚げ　調理後全体　（添付調味料等を含むもの）,こむぎ　［即席めん類］　即席中華めん　油揚げ　調理後全体　（添付調味料等を含むもの）,01
こむぎ　　即席中華めん　油揚げ　ゆで,こむぎ　［即席めん類］　即席中華めん　油揚げ　ゆで　（添付調味料等を含まないもの）,01
こむぎ　［即席めん類］　即席中華めん　油揚げ　ゆで　（添付調味料等を含まないもの）,こむぎ　［即席めん類］　即席中華めん　油揚げ　ゆで　（添付調味料等を含まないもの）,01
こむぎ　［即席めん類］　即席中華めん　油揚げ　乾　（添付調味料等を含まないもの）,こむぎ　［即席めん類］　即席中華めん　油揚げ　乾　（添付調味料等を含まないもの）,01
こむぎ　［即席めん類］　即席中華めん　非油揚げ　乾　（添付調味料等を含むもの）,こむぎ　［即席めん類］　即席中華めん　非油揚げ　乾　（添付調味料等を含むもの）,01
こむぎ　　即席中華めん　非油揚げ　調理後全体,こむぎ　［即席めん類］　即席中華めん　非油揚げ　調理後全体　（添付調味料等を含むもの）,01
こむぎ　［即席めん類］　即席中華めん　非油揚げ　調理後全体　（添付調味料等を含むもの）,こむぎ　［即席めん類］　即席中華めん　非油揚げ　調理後全体　（添付調味料等を含むもの）,01
こむぎ　　即席中華めん　非油揚げ　ゆで,こむぎ　［即席めん類］　即席中華めん　非油揚げ　ゆで　（添付調味料等を含まないもの）,01
こむぎ　［即席めん類］　即席中華めん　非油揚げ　ゆで　（添付調味料等を含まないもの）,こむぎ　［即席めん類］　即席中華めん　非油揚げ　ゆで　（添付調味料等を含まないもの）,01
こむぎ　［即席めん類］　即席中華めん　非油揚げ　乾　（添付調味料等を含まないもの）,こむぎ　［即席めん類］　即席中華めん　非油揚げ　乾　（添付調味料等を含まないもの）,01
こむぎ　　中華すたいる即席かっぷめん　油揚げ　塩味　乾,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　乾　（添付調味料等を含むもの）,01
こむぎ　　中華スタイル即席カップめん　油揚げ　塩味　乾,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　乾　（添付調味料等を含むもの）,01
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　乾　（添付調味料等を含むもの）,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　乾　（添付調味料等を含むもの）,01
こむぎ　　中華すたいる即席かっぷめん　油揚げ　塩味　調理後全体,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　調理後全体　（添付調味料等を含むもの）,01
こむぎ　　中華スタイル即席カップめん　油揚げ　塩味　調理後全体,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　調理後全体　（添付調味料等を含むもの）,01
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　調理後全体　（添付調味料等を含むもの）,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　調理後全体　（添付調味料等を含むもの）,01
こむぎ　　中華すたいる即席かっぷめん　油揚げ　塩味　調理後のめん,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　調理後のめん　（スープを残したもの）,01
こむぎ　　中華スタイル即席カップめん　油揚げ　塩味　調理後のめん,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　調理後のめん　（スープを残したもの）,01
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　調理後のめん　（スープを残したもの）,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　調理後のめん　（スープを残したもの）,01
こむぎ　　中華すたいる即席かっぷめん　油揚げ　しょうゆ味　乾,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　乾　（添付調味料等を含むもの）,01
こむぎ　　中華スタイル即席カップめん　油揚げ　しょうゆ味　乾,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　乾　（添付調味料等を含むもの）,01
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　乾　（添付調味料等を含むもの）,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　乾　（添付調味料等を含むもの）,01
こむぎ　　中華すたいる即席かっぷめん　油揚げ　しょうゆ味　調理後全体,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　調理後全体　（添付調味料等を含むもの）,01
こむぎ　　中華スタイル即席カップめん　油揚げ　しょうゆ味　調理後全体,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　調理後全体　（添付調味料等を含むもの）,01
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　調理後全体　（添付調味料等を含むもの）,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　調理後全体　（添付調味料等を含むもの）,01
こむぎ　　中華すたいる即席かっぷめん　油揚げ　しょうゆ味　調理後のめん,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　調理後のめん　（スープを残したもの）,01
こむぎ　　中華スタイル即席カップめん　油揚げ　しょうゆ味　調理後のめん,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　調理後のめん　（スープを残したもの）,01
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　調理後のめん　（スープを残したもの）,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　調理後のめん　（スープを残したもの）,01
かっぷ焼きそば,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　焼きそば　乾　（添付調味料等を含むもの）,01
こむぎ　　中華すたいる即席かっぷめん　油揚げ　焼きそば　乾,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　焼きそば　乾　（添付調味料等を含むもの）,01
こむぎ　　中華スタイル即席カップめん　油揚げ　焼きそば　乾,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　焼きそば　乾　（添付調味料等を含むもの）,01
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　焼きそば　乾　（添付調味料等を含むもの）,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　焼きそば　乾　（添付調味料等を含むもの）,01
カップ焼きそば,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　焼きそば　乾　（添付調味料等を含むもの）,01
こむぎ　　中華すたいる即席かっぷめん　油揚げ　焼きそば　調理後全体,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　焼きそば　調理後全体　（添付調味料等を含むもの）,01
こむぎ　　中華スタイル即席カップめん　油揚げ　焼きそば　調理後全体,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　焼きそば　調理後全体　（添付調味料等を含むもの）,01
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　焼きそば　調理後全体　（添付調味料等を含むもの）,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　焼きそば　調理後全体　（添付調味料等を含むもの）,01
かっぷらーめん,こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　乾　（添付調味料等を含むもの）,01
こむぎ　　中華すたいる即席かっぷめん　非油揚げ　乾,こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　乾　（添付調味料等を含むもの）,01
こむぎ　　中華スタイル即席カップめん　非油揚げ　乾,こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　乾　（添付調味料等を含むもの）,01
こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　乾　（添付調味料等を含むもの）,こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　乾　（添付調味料等を含むもの）,01
カップラーメン,こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　乾　（添付調味料等を含むもの）,01
こむぎ　　中華すたいる即席かっぷめん　非油揚げ　調理後全体,こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　調理後全体　（添付調味料等を含むもの）,01
こむぎ　　中華スタイル即席カップめん　非油揚げ　調理後全体,こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　調理後全体　（添付調味料等を含むもの）,01
こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　調理後全体　（添付調味料等を含むもの）,こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　調理後全体　（添付調味料等を含むもの）,01
こむぎ　　中華すたいる即席かっぷめん　非油揚げ　調理後のめん,こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　調理後のめん　（スープを残したもの）,01
こむぎ　　中華スタイル即席カップめん　非油揚げ　調理後のめん,こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　調理後のめん　（スープを残したもの）,01
こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　調理後のめん　（スープを残したもの）,こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　調理後のめん　（スープを残したもの）,01
かっぷうどん,こむぎ　［即席めん類］　和風スタイル即席カップめん　油揚げ　乾　（添付調味料等を含むもの）,01
こむぎ　　和風すたいる即席かっぷめん　油揚げ　乾,こむぎ　［即席めん類］　和風スタイル即席カップめん　油揚げ　乾　（添付調味料等を含むもの）,01
